circuit_id,family,compiled_gate_count,compiled_two_qubit_count,compiled_depth,hardware_vs_ideal_tv,hardware_vs_ideal_h2,finite_vs_ideal_tv,finite_vs_ideal_h2,local_noise_vs_ideal_tv,local_noise_vs_ideal_h2,hardware_vs_local_noise_tv,hardware_vs_local_noise_h2,hardware_noise_minus_ideal_tv,hardware_excess_over_finite_tv,hardware_feasible_k3,finite_feasible_k3,ideal_feasible_k3,local_noise_feasible_k3
tianyan-287__qaoa_0090,qaoa,432,108,237,0.85546875,0.6387451355922726,0.037848765537884355,0.0014198207971766502,0.724774127616911,0.4783102198867395,0.2497030535465447,0.047134356347909294,-0.6057656964534552,0.8176199844621157,0.3037109375,1.0,1.0,0.38621413122840764
tianyan-287__qaoa_0091,qaoa,432,108,237,0.845703125,0.6300031716598933,0.010772817445027283,0.0001344678051759727,0.7247741277035893,0.4783102199124348,0.2808055491763905,0.058770135386125154,-0.5648975758236094,0.8349303075549728,0.3505859375,1.0,0.9999999999999999,0.38621413122080384
tianyan-287__qaoa_0092,qaoa,432,108,237,0.8515625,0.6202888675185123,0.020125376181626606,0.00032039537423438806,0.724774127676793,0.47831021990449124,0.2586577700140005,0.04604571995647362,-0.5929047299859995,0.8314371238183734,0.326171875,1.0,1.0,0.38621413122315446
tianyan-287__qaoa_0093,qaoa,432,108,237,0.8623046875000001,0.6478161508668887,0.022859781934484645,0.0003311682490150205,0.7247741276964061,0.47831021991030553,0.2809582516565243,0.05658849206575427,-0.5813464358434758,0.8394449055655154,0.3154296875,1.0,1.0,0.38621413122143405
tianyan-287__qaoa_0094,qaoa,432,108,237,0.865234375,0.6490346876846707,0.03651525321818011,0.0010455660247641859,0.7247741274671389,0.47831021984234,0.2939293441719426,0.06011324369140262,-0.5713050308280574,0.82871912178182,0.3125,1.0,0.9999999999999999,0.38621413124154647
tianyan-287__qaoa_0095,qaoa,807,198,458,0.8880593085434646,0.6684526612705495,0.04102373085366175,0.0012937402129402078,0.8158268009454237,0.5671695004931403,0.19197905244770733,0.02753034250409699,-0.6960802560957573,0.8470355776898029,0.2841796875,1.0,1.0,0.32665775828002774
tianyan-287__qaoa_0096,qaoa,807,198,458,0.8241264882682087,0.606247665802395,0.035021073965383766,0.0015048057646111133,0.7717735194577293,0.5315769086085147,0.180616300776355,0.02604307429087848,-0.6435101874918536,0.7891054143028249,0.3154296875,1.0,0.9999999999999999,0.32458602861375047
tianyan-287__qaoa_0097,qaoa,807,198,458,0.875247916763551,0.6561255169381155,0.024510729328976515,0.0006920097084517176,0.8098604517703418,0.5627608981551766,0.21415868743209598,0.03420084010802894,-0.661089229331455,0.8507371874345745,0.2919921875,1.0,1.0,0.3266812891861455
tianyan-287__qaoa_0098,qaoa,807,198,458,0.8230803074602302,0.6113939791465673,0.05108892238547241,0.0018274911742960144,0.7554613925944369,0.5251059012890527,0.15616613520316333,0.019844212685840946,-0.6669141722570668,0.7719913850747577,0.294921875,1.0,1.0000000000000002,0.32643025016896043
tianyan-287__qaoa_0099,qaoa,807,198,458,0.8855729669671002,0.6747753857465313,0.043854045258367155,0.00352941967064879,0.8119236349814303,0.5592466591586289,0.20582667178199446,0.032322366127726626,-0.6797462951851058,0.8417189217087331,0.2958984375,1.0,1.0000000000000002,0.32425192217452725
